iter	RMSE
0	5.241941219
1	5.128483496
2	5.017819458
3	4.922558876
4	4.823874546
5	4.724066643
6	4.640405454
7	4.550306289
8	4.474632283
9	4.405453614
10	4.325159776
11	4.256701058
12	4.187930725
13	4.124172812
14	4.06599674
15	4.009033472
16	3.961452791
17	3.913341516
18	3.861426187
19	3.821178093
20	3.778978895
21	3.735831595
22	3.69445394
23	3.655820319
24	3.615563237
25	3.585337748
26	3.549030346
27	3.516801643
28	3.484882432
29	3.46145937
30	3.434463512
31	3.416716764
32	3.394837496
33	3.372755864
34	3.34742404
35	3.32662737
36	3.307142194
37	3.289583049
38	3.271736836
39	3.256529562
40	3.241830046
41	3.229026918
42	3.215985956
43	3.203429753
44	3.190843065
45	3.178438661
46	3.167704144
47	3.156894555
48	3.147443155
49	3.137103329
50	3.127425714
51	3.118292078
52	3.111776551
53	3.103326621
54	3.09666118
55	3.088089567
56	3.081242613
57	3.075547421
58	3.069521064
59	3.06348427
60	3.057778368
61	3.051096953
62	3.045763334
63	3.040498888
64	3.037118032
65	3.03317878
66	3.029836034
67	3.02536492
68	3.021982691
69	3.016720499
70	3.012220981
71	3.008259429
72	3.006134607
73	3.002621692
74	2.999919164
75	2.996494364
76	2.993265273
77	2.991873669
78	2.988981636
79	2.986375579
80	2.985037569
81	2.982209004
82	2.979582362
83	2.976749504
84	2.975102694
85	2.973292966
86	2.970603712
87	2.969010555
88	2.966266323
89	2.963722733
90	2.961609143
91	2.9611534
92	2.960254995
93	2.958940615
94	2.957082774
95	2.955554279
96	2.953404714
97	2.950521806
98	2.947153652
99	2.946169595
100	2.943821974
101	2.942320395
102	2.941042247
103	2.939253129
104	2.937364365
105	2.935602836
106	2.934486016
107	2.931909042
108	2.929299458
109	2.927737114
110	2.92606818
111	2.923507563
112	2.922016714
113	2.92129656
114	2.919730917
115	2.917693284
116	2.915852358
117	2.913848521
118	2.9121445
119	2.911521375
120	2.910292439
121	2.909034761
122	2.906565337
123	2.9048013
124	2.90420697
125	2.902295106
126	2.900460767
127	2.900111796
128	2.898157225
129	2.896676582
130	2.894961795
131	2.892321054
132	2.892320831
133	2.89074873
134	2.889483331
135	2.887572007
136	2.885404646
137	2.884490775
138	2.883015576
139	2.880194372
140	2.877890817
141	2.876283468
142	2.874953085
143	2.874344889
144	2.872460382
145	2.872067421
146	2.870508723
147	2.868548918
148	2.867479716
149	2.867282389
150	2.865968997
151	2.864810568
152	2.864372076
153	2.862613372
154	2.861200045
155	2.859659285
156	2.859116093
157	2.858131286
158	2.857188567
159	2.854584732
160	2.85341937
161	2.851897735
162	2.85067127
163	2.849849861
164	2.849149275
165	2.847113072
166	2.845818162
167	2.844692748
168	2.842895868
169	2.840978098
170	2.83899829
171	2.837836446
172	2.837367252
173	2.835589676
174	2.834813848
175	2.833455647
176	2.832369542
177	2.831201023
178	2.829760749
179	2.82828238
180	2.827168805
181	2.824914129
182	2.823311901
183	2.821687934
184	2.821092336
185	2.818988091
186	2.816693917
187	2.814772216
188	2.814404648
189	2.812903637
190	2.811508106
191	2.809838007
192	2.808842317
193	2.80787229
194	2.805451637
195	2.803328417
196	2.80212349
197	2.800866956
198	2.798877582
199	2.797655203
200	2.795067084
201	2.793401995
202	2.791636111
203	2.790196027
204	2.789061763
205	2.786733138
206	2.785604715
207	2.784534105
208	2.782204935
209	2.781273077
210	2.779591437
211	2.778292853
212	2.776583356
213	2.775352396
214	2.773837225
215	2.772005716
216	2.771164807
217	2.768860546
218	2.768041117
219	2.767456985
220	2.765427726
221	2.764435575
222	2.763795135
223	2.762129433
224	2.760923458
225	2.760026223
226	2.758788947
227	2.75805963
228	2.756860752
229	2.755847795
230	2.752356932
231	2.751509741
232	2.749421478
233	2.747738089
234	2.747177363
235	2.746052389
236	2.74383717
237	2.742387137
238	2.740738564
239	2.740310244
240	2.739615676
241	2.737954982
242	2.736250197
243	2.734992042
244	2.734276487
245	2.733025064
246	2.730665752
247	2.729420413
248	2.728208064
249	2.726826089
250	2.725140186
251	2.724309248
252	2.723171917
253	2.72189155
254	2.720899864
255	2.719906978
256	2.719104517
257	2.718538031
258	2.716690292
259	2.715439937
260	2.714531069
261	2.712898478
262	2.711469623
263	2.709538023
264	2.708410679
265	2.707665381
266	2.705751896
267	2.703623791
268	2.70106434
269	2.700432337
270	2.699865164
271	2.698429691
272	2.697302765
273	2.695377546
274	2.694257115
275	2.693539083
276	2.690814945
277	2.68860569
278	2.687805057
279	2.686947761
280	2.685273999
281	2.684656284
282	2.682480686
283	2.681107022
284	2.68046417
285	2.679877021
286	2.679012228
287	2.677965291
288	2.676745786
289	2.675486982
290	2.673893136
291	2.673356734
292	2.672620985
293	2.671225964
294	2.670462229
295	2.66934374
296	2.668359165
297	2.667852857
298	2.66547478
299	2.664231291
300	2.662571633
301	2.661829077
302	2.659630374
303	2.656696316
304	2.655390551
305	2.652439212
306	2.651329344
307	2.650527058
308	2.648128065
309	2.645926904
310	2.645069389
311	2.643041485
312	2.641425594
313	2.640347402
314	2.638067247
315	2.636018061
316	2.633146135
317	2.632569953
318	2.63064162
319	2.629868265
320	2.629203348
321	2.628018328
322	2.627078537
323	2.626024593
324	2.624132788
325	2.621988019
326	2.618751612
327	2.617566209
328	2.615587304
329	2.613595302
330	2.612695339
331	2.611041998
332	2.610313685
333	2.60932322
334	2.607385431
335	2.604917611
336	2.603770104
337	2.602853812
338	2.6021412
339	2.601579545
340	2.600007534
341	2.598975551
342	2.598357106
343	2.597017165
344	2.596485976
345	2.594519305
346	2.593825519
347	2.593235638
348	2.592598047
349	2.59109449
350	2.590544454
351	2.589398241
352	2.587964757
353	2.585831047
354	2.585033266
355	2.584219754
356	2.582930283
357	2.581694922
358	2.580656271
359	2.579415064
360	2.577264657
361	2.575017377
362	2.57436086
363	2.572690478
364	2.572088663
365	2.571116051
366	2.570613806
367	2.569033134
368	2.5681138
369	2.565815826
370	2.563754843
371	2.562486105
372	2.561340094
373	2.560778746
374	2.559644445
375	2.558799897
376	2.557774123
377	2.556011586
378	2.554934901
379	2.552531008
380	2.550702083
381	2.549985979
382	2.549377083
383	2.547382995
384	2.546169443
385	2.545660373
386	2.544096959
387	2.542502226
388	2.54190128
389	2.539048689
390	2.537118781
391	2.536141051
392	2.53373186
393	2.53142755
394	2.530242329
395	2.529148124
396	2.528107441
397	2.527188525
398	2.526721646
399	2.526242305
400	2.525309434
401	2.524131866
402	2.522477503
403	2.521228295
404	2.520712382
405	2.519698263
406	2.516770793
407	2.514923441
408	2.514373593
409	2.513517671
410	2.51297707
411	2.512028439
412	2.511115676
413	2.509512514
414	2.50887848
415	2.508416294
416	2.507972578
417	2.507449343
418	2.506116403
419	2.50515082
420	2.503305587
421	2.502712556
422	2.501931718
423	2.500430388
424	2.499866655
425	2.499121304
426	2.497590058
427	2.496399323
428	2.495488038
429	2.494410898
430	2.492971562
431	2.491795826
432	2.490967992
433	2.489414174
434	2.488664547
435	2.487655069
436	2.486543315
437	2.486223437
438	2.484642686
439	2.483315919
440	2.480927213
441	2.4804834
442	2.479122673
443	2.478309169
444	2.477188106
445	2.475916431
446	2.474632756
447	2.472848738
448	2.472035312
449	2.47034477
450	2.469915237
451	2.469395624
452	2.468247512
453	2.467077028
454	2.466160968
455	2.464268461
456	2.462855783
457	2.462371093
458	2.461622953
459	2.459698447
460	2.459128764
461	2.458653504
462	2.457486351
463	2.456572018
464	2.455182475
465	2.453652928
466	2.452517623
467	2.451817521
468	2.450838042
469	2.449962737
470	2.447807014
471	2.446205628
472	2.445189861
473	2.443625635
474	2.442993223
475	2.44194052
476	2.441159405
477	2.440250542
478	2.439809981
479	2.437712235
480	2.437105275
481	2.436136768
482	2.435452562
483	2.433652462
484	2.432695549
485	2.431574519
486	2.430588606
487	2.428416256
488	2.428058791
489	2.427614103
490	2.426830696
491	2.426420539
492	2.425989483
493	2.424709113
494	2.423170062
495	2.422731602
496	2.421587309
497	2.420486462
498	2.418341286
499	2.417344911
500	2.415880393
501	2.413999889
502	2.413222385
503	2.412719596
504	2.41190174
505	2.411148826
506	2.410487547
507	2.410134582
508	2.408935082
509	2.408587144
510	2.407004155
511	2.40469027
512	2.404369173
513	2.403420922
514	2.402553178
515	2.400398125
516	2.399499008
517	2.399128464
518	2.398720024
519	2.396429513
520	2.39496151
521	2.393482659
522	2.39198501
523	2.390898654
524	2.390463212
525	2.389659972
526	2.389050007
527	2.387763515
528	2.386059888
529	2.385504933
530	2.384825943
531	2.384561244
532	2.383838201
533	2.383368375
534	2.382777536
535	2.380977227
536	2.379611837
537	2.379179379
538	2.378203938
539	2.377011755
540	2.375710731
541	2.374716565
542	2.374549547
543	2.373516409
544	2.37270249
545	2.371949936
546	2.371486104
547	2.371232092
548	2.370075604
549	2.369276998
550	2.367819506
551	2.367324244
552	2.366802313
553	2.366399509
554	2.364465507
555	2.363937151
556	2.362453675
557	2.362222564
558	2.360411172
559	2.359899691
560	2.359008576
561	2.358354207
562	2.358085204
563	2.357031801
564	2.356480579
565	2.355618891
566	2.355129128
567	2.35349766
568	2.351673368
569	2.350970897
570	2.350176102
571	2.349783212
572	2.348912213
573	2.347280273
574	2.345558273
575	2.343906521
576	2.343134379
577	2.342694055
578	2.340874635
579	2.340490244
580	2.339119996
581	2.338392886
582	2.336663983
583	2.336328441
584	2.335377291
585	2.334380581
586	2.333406456
587	2.332607609
588	2.331863867
589	2.330896112
590	2.329958433
591	2.329584591
592	2.327800714
593	2.327297395
594	2.325741156
595	2.324887297
596	2.323816487
597	2.322418698
598	2.321268782
599	2.320597482
600	2.319151856
601	2.318063846
602	2.317506886
603	2.31675254
604	2.315569198
605	2.314480131
606	2.313612928
607	2.312956412
608	2.311815541
609	2.310619826
610	2.308855494
611	2.307790671
612	2.306493602
613	2.305777021
614	2.30473072
615	2.303915169
