iter	Passed	Remaining
0	0	413
1	0	340
2	1	333
3	1	291
4	1	363
5	2	354
6	4	632
7	4	602
8	5	554
9	5	540
10	5	527
11	6	515
12	6	502
13	6	487
14	7	468
15	7	457
16	7	443
17	7	434
18	8	427
19	8	422
20	8	414
21	9	412
22	9	408
23	9	404
24	10	401
25	10	396
26	10	393
27	11	389
28	11	387
29	11	384
30	12	381
31	12	373
32	12	371
33	13	370
34	13	369
35	13	367
36	13	363
37	14	360
38	14	360
39	14	355
40	15	354
41	15	352
42	15	353
43	16	352
44	16	351
45	16	351
46	17	349
47	18	371
48	19	373
49	19	373
50	19	371
51	20	369
52	20	365
53	20	363
54	21	361
55	21	359
56	21	358
57	22	357
58	22	356
59	22	355
60	23	355
61	23	355
62	23	354
63	24	353
64	24	351
65	24	350
66	24	346
67	25	345
68	25	344
69	25	343
70	26	342
71	26	342
72	26	340
73	27	340
74	27	337
75	27	336
76	27	335
77	28	332
78	28	332
79	28	331
80	28	328
81	29	327
82	30	334
83	30	334
84	30	332
85	31	330
86	31	329
87	31	329
88	32	328
89	32	327
90	34	344
91	34	342
92	34	340
93	35	338
94	35	337
95	35	335
96	35	334
97	36	333
98	36	333
99	36	331
100	37	330
101	37	330
102	37	329
103	38	329
104	38	328
105	38	327
106	39	326
107	39	325
108	39	325
109	40	324
110	40	323
111	40	322
112	41	322
113	41	321
114	41	321
115	42	320
116	42	320
117	42	319
118	43	319
119	43	318
120	43	317
121	44	316
122	44	316
123	44	316
124	44	314
125	45	313
126	45	313
127	45	312
128	46	311
129	46	310
130	46	309
131	47	309
132	47	307
133	47	307
134	47	306
135	49	316
136	50	316
137	50	315
138	50	314
139	51	313
140	51	313
141	51	312
142	52	312
143	52	310
144	52	309
145	52	309
146	53	308
147	53	308
148	53	307
149	53	305
150	54	304
151	54	304
152	54	303
153	55	302
154	55	302
155	55	302
156	56	301
157	56	300
158	56	300
159	57	299
160	57	299
161	57	298
162	58	298
163	58	297
164	58	296
165	58	296
166	59	295
167	59	295
168	59	294
169	60	294
170	60	293
171	60	293
172	61	292
173	61	291
174	61	292
175	62	291
176	62	291
177	62	290
178	64	298
179	65	297
180	65	297
181	66	297
182	66	296
183	66	296
184	67	295
185	67	295
186	67	294
187	68	294
188	68	292
189	68	292
190	68	292
191	69	291
192	69	291
193	70	292
194	70	291
195	70	291
196	71	290
