iter	Passed	Remaining
0	0	342
1	0	411
2	1	431
3	1	387
4	2	413
5	2	420
6	2	423
7	3	424
8	3	404
9	4	411
10	4	414
11	5	417
12	5	419
13	5	418
14	6	411
15	6	412
16	7	407
17	7	410
18	8	414
19	8	415
20	8	410
21	9	411
22	9	412
23	10	414
24	10	416
25	11	413
26	11	414
27	11	415
28	12	419
29	12	419
30	13	421
31	13	414
32	14	416
33	14	417
34	15	420
35	15	422
36	16	419
37	16	420
38	17	420
39	17	416
40	17	417
41	18	418
42	18	418
43	19	420
44	19	421
45	20	421
46	20	421
47	21	418
48	21	420
49	22	421
50	22	421
51	23	421
52	23	418
53	23	419
54	24	418
55	24	418
56	25	418
57	25	418
58	26	419
59	26	419
60	27	420
61	27	420
62	28	420
63	28	421
64	29	418
65	29	418
66	29	415
67	30	416
68	30	414
69	31	415
70	31	415
71	32	416
72	32	415
73	33	415
74	33	412
75	33	413
76	34	413
77	34	409
78	35	409
79	35	408
80	35	405
81	36	405
82	36	405
83	37	406
84	37	403
85	37	401
86	38	400
87	38	400
88	39	406
89	40	406
90	40	406
91	40	403
92	41	401
93	41	399
94	41	399
95	42	398
96	42	398
97	43	398
98	43	398
99	44	396
100	44	396
101	45	396
102	45	396
103	45	396
104	46	395
105	46	395
106	47	394
107	47	393
108	48	394
109	48	393
110	49	393
111	49	393
112	50	392
113	50	391
114	50	391
115	51	390
116	51	390
117	52	390
118	52	389
119	53	390
120	53	390
121	54	389
122	54	389
123	55	388
124	55	387
125	55	387
126	56	387
127	56	385
128	57	385
129	57	385
130	58	385
131	58	385
132	58	382
133	59	382
134	59	382
135	60	382
136	60	382
137	60	380
138	61	379
139	61	379
140	62	378
141	62	378
142	63	378
143	63	376
144	63	376
145	64	375
146	64	374
147	65	374
148	65	373
149	65	372
150	66	371
151	66	371
152	66	370
153	67	370
154	67	370
155	68	369
156	68	368
157	69	368
158	69	367
159	69	367
160	70	366
161	70	366
162	71	366
163	71	366
164	72	365
165	72	365
166	73	365
167	73	364
168	74	364
169	74	364
170	75	364
